Age,Sex,Height_cm,Weight_kg,BMI,BodyFat_PC,LeanMass_kg,ActivityLevel_1to5,Calorie_Maintenance
62,F,184,69,20.4,18.3,56.4,3,2121
23,M,167,72,25.8,18.8,58.5,3,2563
45,F,170,78,27,15,66.3,3,2257
45,F,167,75,26.9,30.9,51.8,3,2182
61,F,158,64,25.6,9.2,58.1,5,2206
61,M,177,74,23.6,29.6,52.1,1,1855
37,F,172,84,28.4,25.9,62.3,1,1882
47,F,161,47,18.1,18.2,38.5,3,1674
28,F,179,67,20.9,34.3,44,4,2566
45,M,170,73,25.3,8,67.2,3,2437
42,F,170,56,19.4,30,39.2,5,2377
56,F,187,83,23.7,13.2,72,2,2141
50,F,153,78,33.3,18.3,63.7,3,2054
18,F,153,84,35.9,24.5,63.4,4,2665
44,M,156,102,41.9,30.4,71,5,3382
30,M,173,74,24.7,14.4,63.4,3,2598
58,F,166,65,23.6,26.6,47.7,2,1700
20,F,167,84,30.1,18.5,68.5,5,3083
56,F,160,61,23.8,15.2,51.7,4,2016
23,F,186,76,22,8.8,69.3,3,2552
25,M,190,85,23.5,19,68.9,3,2972
44,M,178,82,25.9,11.8,72.4,2,2361
26,M,154,91,38.4,12.2,79.9,3,2708
54,M,165,65,23.9,18.1,53.2,3,2195
50,F,178,80,25.2,20.1,63.9,1,1801
59,F,169,71,24.9,17.6,58.5,4,2260
61,M,179,73,22.8,22.6,56.5,3,2400
41,M,182,73,22,35.5,47.1,3,2584
32,F,189,78,21.8,16.6,65,2,2255
49,F,163,69,26,14.9,58.8,2,1791
49,F,170,48,16.6,14.5,41,2,1562
41,F,165,72,26.4,8,66.2,3,2147
58,F,149,75,33.8,16.9,62.3,1,1476
29,M,177,69,22,36.3,44,2,2277
56,M,175,76,24.8,22.6,58.9,5,2999
19,F,164,68,25.3,18.8,55.2,2,1992
20,F,154,65,27.4,26.2,48,5,2567
54,M,166,90,32.7,18.6,73.3,1,2007
34,F,177,103,32.9,31.9,70.1,4,3114
19,M,183,83,24.8,21,65.6,3,2919
19,M,162,61,23.2,33.2,40.8,2,2107
45,M,181,73,22.3,24.1,55.4,4,2831
40,M,176,72,23.2,26.2,53.1,1,1950
54,F,174,80,26.4,20.8,63.4,2,2002
49,F,157,72,29.2,29.8,50.6,3,2007
50,M,157,79,32,35.6,50.9,2,2098
18,F,161,96,37,26.3,70.8,2,2358
36,F,166,42,15.2,20.5,33.4,1,1339
19,F,188,62,17.5,29.8,43.5,4,2654
61,F,163,84,31.6,18.2,68.7,3,2158
43,M,177,69,22,33.3,46,1,1903
49,F,165,78,28.7,17.9,64,2,1932
23,M,174,67,22.1,21.4,52.6,2,2265
49,M,169,93,32.6,29,66.1,2,2401
21,F,171,87,29.8,8,80,3,2592
28,M,173,74,24.7,24.5,55.9,5,3203
34,F,167,95,34.1,23.3,72.9,2,2286
55,F,173,74,24.7,18.3,60.5,3,2147
41,M,182,70,21.1,19.4,56.4,3,2538
22,F,162,92,35.1,15.2,78,2,2284
51,M,181,49,15,14.3,42,2,1885
23,M,167,72,25.8,18.7,58.5,2,2273
39,F,166,75,27.2,14,64.5,4,2469
28,F,176,66,21.3,26.1,48.8,4,2516
33,F,166,58,21,16.2,48.6,2,1775
50,M,173,68,22.7,28.4,48.7,5,2880
26,F,172,47,15.9,14.4,40.2,5,2382
23,M,149,93,41.9,11.7,82.1,2,2407
33,M,174,94,31,20.2,75,3,2894
46,F,155,71,29.6,12.7,62,2,1770
20,F,156,65,26.7,20.9,51.4,2,1875
37,F,173,47,15.7,15.7,39.6,4,2079
53,M,175,60,19.6,11.9,52.9,3,2222
36,F,182,92,27.8,12,80.9,2,2360
43,M,159,70,27.7,31.4,48,1,1780
20,F,162,62,23.6,27.6,44.9,4,2365
36,F,174,70,23.1,11.5,61.9,3,2242
37,M,182,61,18.4,15.7,51.4,1,1881
49,M,171,46,15.7,33.9,30.4,1,1546
24,F,161,65,25.1,21.8,50.9,3,2131
58,F,185,54,15.8,19.3,43.6,3,1930
50,F,167,76,27.3,22.9,58.6,2,1915
57,F,167,83,29.8,24.1,63,1,1713
56,F,155,59,24.6,21.9,46.1,4,1928
35,M,177,72,23,15.6,60.8,1,1987
57,M,178,69,21.8,8,63.5,1,1827
18,M,162,58,22.1,21.8,45.3,3,2336
28,M,187,35,10,8,32.2,2,1902
45,F,164,54,20.1,18.1,44.2,3,1827
42,M,176,58,18.7,16.8,48.3,3,2286
40,M,172,72,24.3,16.2,60.3,2,2200
48,M,149,73,32.9,25.4,54.5,1,1711
47,F,175,88,28.7,20.3,70.1,1,1893
59,M,174,54,17.8,25.8,40.1,3,2073
52,F,152,57,24.7,8,52.4,4,1895
24,M,185,60,17.5,28.1,43.2,3,2543
33,F,174,67,22.1,29.4,47.3,3,2218
43,M,182,73,22,21.6,57.2,2,2279
19,F,152,76,32.9,37.5,47.5,4,2508
18,M,165,41,15.1,27.4,29.8,3,2102
29,F,181,87,26.6,21.7,68.1,3,2627
22,F,154,77,32.5,33.5,51.2,2,2009
54,M,166,83,30.1,22.7,64.2,2,2203
49,F,174,34,11.2,14.6,29,5,1940
26,F,151,82,36,28.5,58.6,3,2282
58,M,156,55,22.6,34.1,36.2,3,1922
52,M,183,63,18.8,9.7,56.9,1,1822
36,F,170,91,31.5,18.3,74.4,2,2243
33,M,181,79,24.1,17.9,64.8,4,3038
20,M,171,59,20.2,11.8,52,5,2971
37,M,194,81,21.5,19.7,65,4,3178
41,F,174,75,24.8,15.7,63.2,3,2280
50,F,182,63,19,25.4,47,5,2577
41,F,167,77,27.6,26,57,4,2497
28,F,172,64,21.6,23.1,49.2,4,2439
25,F,176,75,24.2,23.7,57.2,4,2697
53,F,178,75,23.7,34,49.5,3,2226
55,F,169,77,27,38.1,47.6,3,2154
57,M,170,98,33.9,26.9,71.7,3,2731
37,F,175,84,27.4,18,68.9,4,2738
52,F,175,84,27.4,24.2,63.6,3,2344
42,M,159,62,24.5,22.2,48.2,1,1690
52,M,172,47,15.9,27.5,34.1,1,1548
42,M,173,67,22.4,14.9,57,2,2126
46,F,160,62,24.2,28,44.7,3,1904
35,M,179,78,24.3,22.7,60.3,1,2074
63,F,174,67,22.1,21.3,52.7,3,1986
35,F,193,89,23.9,21.6,69.7,4,3036
19,F,169,43,15.1,32.8,28.9,5,2337
52,M,181,65,19.8,43.9,36.5,3,2365
33,M,175,75,24.5,22.9,57.8,3,2609
58,F,189,55,15.4,16.1,46.1,4,2208
53,F,160,83,32.4,21.9,64.8,5,2667
50,F,165,83,30.5,24.5,62.7,2,1994
21,M,160,63,24.6,23.3,48.3,2,2103
50,F,169,109,38.2,23.4,83.5,3,2689
31,M,158,53,21.2,20.6,42.1,2,1880
38,F,154,49,20.7,32.8,32.9,4,1900
37,M,148,62,28.3,19.8,49.7,2,1876
25,F,148,72,32.9,28.4,51.5,3,2106
24,M,176,45,14.5,9.9,40.5,2,1973
20,M,165,79,29,17.5,65.2,1,2071
34,M,157,106,43,24.3,80.2,3,2908
50,M,163,49,18.4,21.7,38.3,3,1958
29,M,164,72,26.8,31.7,49.2,2,2206
39,M,160,84,32.8,24.2,63.7,1,1980
39,F,186,81,23.4,32.6,54.6,5,3071
63,F,184,102,30.1,25.9,75.6,2,2329
47,F,185,62,18.1,15.5,52.4,3,2139
55,F,171,99,33.9,20.5,78.7,1,1947
55,M,172,69,23.3,21,54.5,2,2055
62,F,163,62,23.3,32.2,42,3,1810
25,M,161,98,37.8,20,78.4,3,2892
44,M,170,64,22.1,20.9,50.6,4,2565
44,M,176,86,27.8,18.8,69.8,2,2399
51,F,181,62,18.9,23,47.8,4,2303
38,M,164,50,18.6,27.2,36.4,3,2077
47,F,157,50,20.3,27.6,36.2,3,1682
50,F,177,80,25.5,19.5,64.4,2,2055
45,F,151,54,23.7,8,49.7,4,1893
64,F,169,66,23.1,24.2,50,2,1698
50,F,170,60,20.8,22.8,46.3,4,2158
22,M,166,56,20.3,23.2,43,1,1791
36,M,154,58,24.5,22,45.2,5,2598
21,F,166,73,26.5,24.4,55.2,3,2327
52,M,186,25,7.2,8,23,5,2199
34,F,175,82,26.8,23.2,63,3,2453
61,M,181,50,15.3,14,43,1,1597
45,M,157,52,21.1,31.5,35.6,1,1537
47,M,172,48,16.2,23,37,2,1821
46,M,170,74,25.6,16.2,62,3,2445
63,M,171,91,31.1,12.5,79.6,4,2878
23,M,175,67,21.9,15.2,56.8,1,1984
52,M,171,76,26,16.9,63.2,2,2163
58,M,158,78,31.2,22.3,60.6,3,2297
54,M,176,81,26.1,12.5,70.9,2,2261
41,M,178,54,17,23.9,41.1,2,1997
46,M,183,93,27.8,30,65.1,2,2542
63,M,183,64,19.1,30.8,44.3,5,2800
48,M,174,74,24.4,18.9,60,1,1911
52,F,158,67,26.8,21.8,52.4,5,2349
50,M,154,63,26.6,16.7,52.5,2,1852
38,M,167,84,30.1,12.3,73.6,2,2335
49,M,179,79,24.7,17.7,65,4,2878
40,M,178,37,11.7,8,34,2,1770
50,M,172,76,25.7,8,69.9,5,3021
20,M,169,101,35.4,24.4,76.3,3,3055
35,F,189,72,20.2,24,54.7,3,2426
42,F,175,62,20.2,31.8,42.3,5,2551
59,F,169,64,22.4,33.5,42.6,2,1705
48,M,163,61,23,23.5,46.7,5,2648
20,M,159,52,20.6,14.5,44.5,3,2199
57,M,158,67,26.8,14.4,57.3,4,2376
63,F,159,67,26.5,13.7,57.8,3,1841
41,M,172,79,26.7,24,60,3,2580
49,M,169,62,21.7,16,52.1,2,1974
64,F,166,100,36.3,10.8,89.2,2,2140
39,F,177,55,17.6,25.4,41,2,1787
40,M,188,72,20.4,28.9,51.2,2,2337
19,M,161,58,22.4,16,48.7,4,2581
44,M,163,61,23,21.7,47.7,4,2438
59,M,147,65,30.1,33.7,43.1,3,1982
19,F,169,73,25.6,29.5,51.5,3,2371
43,M,168,82,29.1,14.6,70,3,2573
34,M,178,63,19.9,34.4,41.3,3,2445
57,F,169,47,16.5,27.7,34,4,1863
50,M,164,90,33.5,35,58.5,4,2898
26,M,171,55,18.8,20.6,43.7,1,1792
60,F,175,66,21.6,15.2,56,2,1777
56,F,153,70,29.9,21.7,54.8,3,1883
46,M,180,68,21,10.7,60.7,4,2725
59,F,183,48,14.3,28.6,34.3,3,1810
43,F,175,82,26.8,17.6,67.6,3,2383
52,M,160,27,10.5,25.1,20.2,3,1573
42,F,166,84,30.5,39.3,51,1,1807
41,M,181,87,26.6,18.1,71.3,3,2791
30,M,160,83,32.4,22,64.7,3,2611
24,M,176,65,21,18.3,53.1,4,2820
53,M,169,71,24.9,20.8,56.2,3,2334
62,F,171,59,20.2,20.1,47.1,5,2256
37,M,161,71,27.4,30,49.7,1,1843
18,M,173,79,26.4,29.1,56,4,3081
25,M,172,53,17.9,20.2,42.3,4,2561
63,M,154,67,28.3,23,51.6,2,1818
33,F,169,62,21.7,19.3,50,3,2092
31,F,176,87,28.1,33.3,58,3,2563
29,F,166,55,20,8,50.6,2,1762
40,M,145,79,37.6,15.7,66.6,4,2589
32,F,168,69,24.4,25.4,51.5,5,2696
45,F,184,68,20.1,28.8,48.4,2,1985
51,M,166,79,28.7,32.2,53.6,5,2997
19,F,184,64,18.9,22,49.9,2,2109
49,M,161,71,27.4,17.3,58.7,1,1771
40,F,158,86,34.4,21.8,67.3,1,1783
39,F,169,58,20.3,29.7,40.7,2,1760
42,F,161,74,28.5,17.1,61.4,2,1890
39,F,173,83,27.7,21.5,65.1,4,2682
39,M,166,77,27.9,19.6,61.9,1,1941
59,M,184,89,26.3,32,60.5,3,2712
23,F,165,68,25,12.7,59.4,3,2224
32,M,170,80,27.7,8,73.6,2,2347
60,F,175,86,28.1,21,67.9,1,1791
54,F,179,44,13.7,27,32.1,2,1550
50,F,184,63,18.6,17.9,51.7,2,1882
25,F,167,75,26.9,8,69,3,2337
61,F,166,83,30.1,27.2,60.4,2,1927
61,F,150,73,32.4,18.4,59.5,2,1652
22,M,190,90,24.9,23.8,68.6,1,2379
56,M,173,61,20.4,19.6,49,3,2195
21,F,177,51,16.3,8,46.9,3,2092
23,M,175,81,26.4,24.6,61.1,2,2466
62,F,170,68,23.5,26.6,49.9,4,2193
49,M,173,57,19,20.4,45.3,3,2187
47,M,164,95,35.3,13,82.7,2,2399
64,M,166,81,29.4,36.7,51.3,4,2643
52,F,160,79,30.9,25.1,59.2,2,1882
57,M,185,93,27.2,11.1,82.7,2,2483
33,F,175,64,20.9,40.4,38.1,4,2428
30,F,189,91,25.5,17.1,75.4,4,3070
59,F,192,76,20.6,32.7,51.2,4,2594
47,M,155,61,25.4,27.2,44.4,3,2090
36,M,179,69,21.5,24.8,51.9,2,2246
34,M,156,72,29.6,33.1,48.2,4,2639
36,F,171,86,29.4,8,79.1,2,2183
45,F,173,49,16.4,26.6,36,5,2251
43,M,157,43,17.4,19.3,34.7,2,1651
54,F,162,58,22.1,41.3,34.1,1,1393
43,M,173,68,22.7,8,62.6,2,2132
40,M,171,80,27.4,24.5,60.4,3,2594
26,M,159,63,24.9,25.1,47.2,1,1798
29,M,163,76,28.6,17.2,62.9,3,2540
18,F,155,94,39.1,19.9,75.3,2,2279
18,M,157,44,17.9,18.3,35.9,1,1603
64,M,166,67,24.3,14.2,57.5,2,1914
51,M,179,106,33.1,14.6,90.6,2,2652
49,M,181,59,18,20.7,46.8,3,2295
42,M,188,57,16.1,27.4,41.4,4,2656
57,M,174,77,25.4,16.8,64.1,3,2445
62,M,171,62,21.2,8,57,4,2386
18,F,174,86,28.4,21.2,67.7,2,2332
33,F,174,107,35.3,24.3,81,1,2197
56,F,153,71,30.3,20.1,56.8,5,2327
22,F,188,111,31.4,22.3,86.2,2,2769
39,M,150,63,28,29.4,44.5,3,2135
46,F,181,67,20.5,21.5,52.6,3,2185
20,F,170,55,19,28.5,39.3,3,2094
29,F,159,63,24.9,24.5,47.6,4,2273
43,M,175,66,21.6,14.5,56.4,4,2662
33,F,168,76,26.9,30.9,52.5,5,2819
54,F,163,51,19.2,11.2,45.3,3,1701
39,M,156,62,25.5,8,57,5,2669
46,F,155,62,25.8,22.8,47.9,3,1856
31,M,163,83,31.2,26.8,60.8,1,2038
45,F,166,71,25.8,26.2,52.4,1,1633
22,M,157,71,28.8,12.3,62.2,2,2181
64,F,170,71,24.6,23.2,54.6,4,2227
47,F,159,43,17,8.7,39.3,1,1233
63,F,173,94,31.4,24.8,70.7,2,2124
22,M,182,56,16.9,22.7,43.3,5,3025
29,F,172,83,28.1,26.3,61.1,4,2758
33,M,169,66,23.1,28.3,47.3,3,2412
43,M,164,60,22.3,26.3,44.2,1,1698
43,M,184,85,25.1,11.3,75.4,1,2148
38,M,168,52,18.4,17.9,42.7,1,1662
56,F,194,53,14.1,12.9,46.2,2,1789
53,F,158,72,28.8,8,66.2,3,1986
50,F,172,72,24.3,28,51.9,2,1903
47,M,184,82,24.2,27.1,59.8,1,2088
54,F,163,80,30.1,14.6,68.3,1,1665
40,M,167,68,24.4,15.7,57.3,3,2369
27,M,176,71,22.9,21.7,55.6,4,2898
22,M,173,67,22.4,17.6,55.2,4,2839
53,F,175,91,29.7,30.8,63,2,2169
51,F,181,55,16.8,18.9,44.6,3,1961
48,M,166,70,25.4,15.3,59.3,2,2065
27,F,184,81,23.9,25.5,60.4,5,3161
36,F,152,86,37.2,14.7,73.3,3,2276
49,M,180,59,18.2,27.7,42.7,2,2028
18,M,181,55,16.8,21.5,43.2,3,2474
22,F,162,51,19.4,29.3,36.1,1,1501
62,M,155,64,26.6,30,44.8,3,2020
21,M,167,73,26.2,11.6,64.6,4,2887
33,F,174,62,20.5,22.5,48,3,2141
41,F,166,80,29,21.6,62.7,5,2795
33,M,175,69,22.5,21.1,54.5,2,2232
19,F,189,79,22.1,31.3,54.3,2,2358
45,M,156,72,29.6,21.9,56.3,4,2544
49,M,150,44,19.6,10.9,39.2,1,1365
44,F,169,52,18.2,18.3,42.5,2,1643
37,M,163,87,32.7,16.4,72.7,3,2648
41,M,165,55,20.2,18.7,44.7,4,2382
29,M,182,82,24.8,21.9,64.1,3,2817
52,F,168,71,25.2,16.4,59.3,5,2544
50,F,169,55,19.3,26.9,40.2,3,1852
50,F,165,81,29.8,34.2,53.3,4,2467
60,M,169,62,21.7,23.4,47.5,5,2624
54,M,172,72,24.3,28.3,51.6,3,2371
29,F,197,66,17,14,56.7,4,2734
20,F,172,29,9.8,28.8,20.6,2,1518
18,F,181,80,24.4,33,53.6,3,2604
50,M,171,81,27.7,31.8,55.2,5,3104
57,F,149,62,27.9,17.3,51.3,4,1906
27,M,164,79,29.4,31.9,53.8,2,2316
60,F,172,56,18.9,36.1,35.8,2,1614
61,M,177,57,18.2,17.5,47,4,2374
46,M,172,73,24.7,27.6,52.8,2,2172
30,F,179,59,18.4,17.4,48.7,4,2411
29,M,155,68,28.3,11.2,60.4,4,2602
48,F,170,55,19,20.3,43.8,2,1665
63,M,183,50,14.9,17.5,41.2,4,2300
19,M,160,73,28.5,20.9,57.7,4,2829
52,F,181,73,22.3,8,67.2,1,1728
40,M,180,70,21.6,25.1,52.4,3,2526
34,F,157,65,26.4,20.1,51.9,4,2242
43,F,173,59,19.7,28,42.5,2,1780
25,F,171,53,18.1,18.3,43.3,3,2034
46,M,168,53,18.8,35.9,34,3,2100
43,M,154,60,25.3,18.5,48.9,1,1623
27,M,167,85,30.5,22.9,65.5,2,2425
43,F,168,73,25.9,14.1,62.7,3,2176
51,F,153,75,32,22.8,57.9,2,1774
58,M,156,51,21,24.2,38.7,2,1650
24,M,160,72,28.1,17.5,59.4,1,1926
21,F,159,75,29.7,28.1,53.9,5,2807
62,M,173,93,31.1,17.5,76.7,4,2943
28,F,179,69,21.5,31.1,47.6,2,2073
46,M,166,64,23.2,11,56.9,2,1997
53,F,177,58,18.5,21.5,45.5,1,1512
42,M,179,70,21.8,43,39.9,1,1936
38,M,169,67,23.5,8,61.6,3,2388
53,F,174,86,28.4,29.6,60.5,4,2624
27,F,167,83,29.8,24.5,62.6,2,2169
54,F,158,55,22,19.5,44.3,1,1327
26,M,162,69,26.3,30.8,47.8,3,2445
41,F,173,106,35.4,25.4,79.1,3,2751
52,F,168,48,17,19.6,38.6,2,1524
52,M,177,67,21.4,16.1,56.2,4,2624
53,F,151,81,35.5,18.6,65.9,3,2058
35,F,153,66,28.2,20,52.8,3,1984
56,F,154,65,27.4,20.6,51.6,1,1405
49,M,171,62,21.2,15.6,52.3,2,1992
41,M,156,54,22.2,23.2,41.5,1,1578
40,M,173,67,22.4,16.8,55.8,5,2956
49,F,177,85,27.1,23.1,65.4,2,2131
54,M,185,50,14.6,37.3,31.4,2,1912
29,F,184,74,21.9,28.8,52.7,1,1900
30,F,163,86,32.4,21.7,67.3,1,1881
40,F,153,69,29.5,12.5,60.3,4,2217
42,M,163,63,23.7,23.1,48.4,2,1985
52,M,179,80,25,36.3,51,3,2578
58,F,166,56,20.3,13.9,48.2,3,1777
47,F,169,76,26.6,8,69.9,2,1952
34,M,164,67,24.9,24.5,50.6,4,2639
37,M,185,70,20.5,34.3,46,2,2304
42,M,159,95,37.6,31.7,64.9,1,2086
39,F,170,87,30.1,35.2,56.3,1,1891
30,M,181,92,28.1,11.7,81.2,2,2621
36,M,188,57,16.1,18.8,46.3,3,2433
53,M,163,54,20.3,25,40.5,3,2013
29,F,179,77,24,8,70.8,4,2730
58,M,163,74,27.9,21.8,57.9,2,2026
36,F,183,40,11.9,17.7,32.9,3,1864
29,F,187,75,21.4,20,60,2,2217
26,F,161,100,38.6,24.1,75.9,5,3258
24,M,176,98,31.6,19.3,79.1,5,3733
45,M,181,59,18,13.3,51.2,1,1801
